total_income,loan_amount,term,interest_rate,own_car,own_house,nr_children,income_type,education_type,family_status,housing_type,region_population_ratio,days_birth,days_employed,days_registration,mobile_number,phone_number,email,days_phone_change,occupation_type,family_count,EXT1,EXT2,EXT3,EXT4,EXT5,EXT6,EXT7
112500.0,521280.0,12,3.5923165867548312,N,Y,1,Working,Secondary / secondary special,Married,Apartment,0.030755,-13442,-2900,-4602.0,1,0,0,0.0,Laborers,3.0,,0.054769838469447,,0,1,0,0
112500.0,640080.0,24,4.683557212684572,N,Y,2,State servant,Incomplete higher,Married,Rented studio,0.006629,-10612,-2541,-1768.0,1,0,0,0.0,Core staff,4.0,,0.3137808912228153,,0,1,0,0
180000.0,490495.5,30,2.5926400604898365,Y,Y,0,Pensioner,Secondary / secondary special,Widow,House,0.020713,-21344,365243,-8539.0,1,0,0,-1595.0,,1.0,0.6268221528624672,0.5446672950292712,,0,1,0,0
67500.0,211500.0,48,3.988180970278872,N,Y,1,Working,Secondary / secondary special,Single / not married,House,0.026392,-11899,-168,-3714.0,1,0,0,-194.0,Security staff,2.0,,0.4329628658782558,0.5442347412142162,0,1,0,0
315000.0,545040.0,12,3.4029987508712023,Y,N,1,Working,Higher education,Married,House,0.04622,-17396,-1675,-1380.0,1,1,0,-268.0,,3.0,,0.7455002228429471,0.2822484337007223,0,0,0,0
225000.0,760225.5,12,3.64002704572956,N,Y,1,Working,Secondary / secondary special,Married,Rented room,0.04622,-10386,-2853,-2635.0,1,0,0,-909.0,Laborers,3.0,0.2514323218939649,0.6703006091138015,0.2940831009471255,0,1,0,0
90000.0,675000.0,30,4.07862305925234,N,Y,0,Working,Secondary / secondary special,Married,Apartment,0.018634,-14474,-3193,-217.0,1,1,0,-2136.0,Private service staff,2.0,,0.7456122276753641,0.7062051096536562,0,1,0,0
117000.0,610335.0,24,3.289271385864169,N,Y,0,Working,Higher education,Civil marriage,Rented room,0.02461,-18014,-2111,-6688.0,1,1,1,-1670.0,High skill tech staff,2.0,,0.645698675929388,0.5638350489514956,0,1,0,0
72000.0,1125000.0,18,2.500411036704328,N,Y,1,Working,Higher education,Married,Rented room,0.018209,-12522,-382,-5061.0,1,0,0,-1178.0,High skill tech staff,3.0,0.4856646417869183,0.4533468244800112,0.475849908720221,0,1,0,0
67500.0,450000.0,48,3.7278859408164373,N,N,0,Working,Secondary / secondary special,Civil marriage,Apartment,0.031329,-12140,-4590,-9497.0,1,0,0,-1279.0,Laborers,2.0,,0.2281970504672788,0.722392890081304,0,1,0,0
135000.0,325908.0,12,3.7988110468497314,N,Y,1,Working,Secondary / secondary special,Married,Apartment,0.018634,-12102,-254,-5323.0,1,0,0,-350.0,Drivers,3.0,,0.5704306018013819,,0,1,0,0
135000.0,824823.0,42,3.9869820765024824,N,Y,1,Commercial associate,Secondary / secondary special,Married,Rented room,0.005144,-14270,-1079,-4370.0,1,0,0,-1156.0,Managers,3.0,,0.5555503520440918,0.5814837058057234,0,1,0,0
58500.0,539100.0,12,3.7758615123627073,N,Y,0,Pensioner,Secondary / secondary special,Married,Rented room,0.0228,-21501,365243,-1958.0,1,0,0,-217.0,,2.0,0.4812740274611192,0.0105077173554056,0.1446481462546413,0,0,0,0
46350.0,127350.0,12,3.4565351650529,Y,Y,0,Pensioner,Higher education,Single / not married,House,0.005144,-23755,365243,-669.0,1,0,0,-614.0,,1.0,,0.6259394658124506,0.4794489811780563,0,0,0,0
220500.0,270000.0,48,3.7910707021689944,N,Y,0,Commercial associate,Secondary / secondary special,Civil marriage,Municipal apartment,0.04622,-19551,-2781,-7840.0,1,1,0,-571.0,Sales staff,2.0,,0.7430738361791787,0.6413682574954046,0,1,0,0
157500.0,314100.0,36,2.1355754953395127,Y,Y,1,Working,Secondary / secondary special,Married,Rented room,0.016612,-14796,-817,-3840.0,1,1,0,-828.0,Laborers,3.0,,0.6069255406995632,0.3622772470384314,0,0,0,1
135000.0,716998.5,24,3.8588959144193637,Y,Y,0,Working,Secondary / secondary special,Single / not married,Apartment,0.022625,-20047,-641,-5319.0,1,0,0,-702.0,Laborers,1.0,,0.5774515299027293,0.363945238612397,0,1,0,0
238500.0,1546020.0,60,2.271828611571087,N,Y,2,State servant,Higher education,Married,House,0.006852,-16061,-5241,-9683.0,1,1,0,-1619.0,High skill tech staff,4.0,,0.5022432956755009,0.7194907850918436,0,1,0,0
130500.0,808650.0,24,4.5660088381257395,N,N,0,Working,Secondary / secondary special,Separated,House,0.015221,-13484,-2030,-456.0,1,0,0,-846.0,Core staff,1.0,,0.5321520051704889,0.1301285429480269,0,1,0,0
225000.0,432661.5,12,4.040620897211841,N,N,0,Working,Higher education,Married,House,0.00496,-14629,-2012,-2256.0,1,0,0,-822.0,,2.0,,0.5740864904420395,0.3139166772114369,0,1,0,0
157500.0,1125000.0,24,2.30319899482823,Y,Y,0,Working,Secondary / secondary special,Single / not married,Rented room,0.01885,-10341,-1390,-4970.0,1,1,0,0.0,Drivers,1.0,,0.3765505983124441,0.6528965519806539,0,1,0,0
135000.0,188685.0,48,4.151917600693708,Y,Y,0,Pensioner,Secondary / secondary special,Married,Rented studio,0.010006,-21269,365243,-4099.0,1,1,0,-483.0,,2.0,,0.4260615660098719,0.5691487713619409,0,0,0,0
135000.0,1078200.0,54,2.672321812265915,Y,Y,2,Commercial associate,Secondary / secondary special,Married,House,0.035792,-10751,-294,-980.0,1,0,0,-902.0,Drivers,4.0,0.217975830937719,0.6390677004266818,0.5867400085415683,0,0,0,0
67500.0,544491.0,42,3.546113070595621,N,N,0,Working,Secondary / secondary special,Married,House,0.010032,-15942,-971,-9979.0,1,0,0,-542.0,Cleaning staff,2.0,0.168278022495839,0.4420357611780514,0.6848276586890367,0,1,0,0
94500.0,387000.0,12,3.0090952887678237,N,N,0,Working,Secondary / secondary special,Married,Apartment,0.0145199999999999,-13361,-1411,-3079.0,1,0,0,-1965.0,Cleaning staff,2.0,,0.6474027333583675,0.1735274304649146,0,1,0,0
270000.0,900000.0,30,3.436005746297172,Y,Y,1,Working,Secondary / secondary special,Civil marriage,Rented room,0.01885,-13684,-4598,-6412.0,1,1,0,-1594.0,Drivers,3.0,0.5734303669812545,0.5621113542434457,0.5513812618027899,0,1,0,0
157500.0,278505.0,24,2.8942934268657643,N,N,0,Working,Secondary / secondary special,Single / not married,With parents,0.002134,-8205,-787,-919.0,1,0,0,0.0,Core staff,1.0,,0.1856899410620694,0.3962195720630885,0,0,0,0
193500.0,1379376.0,12,2.59808265997866,N,Y,0,Working,Secondary / secondary special,Single / not married,House,0.0035409999999999,-11759,-4598,-5550.0,1,0,0,-1848.0,Laborers,1.0,,0.7066052390526679,0.6195277080511546,0,1,0,0
135000.0,358443.0,12,3.124137897178169,Y,Y,0,Working,Secondary / secondary special,Married,Municipal apartment,0.020246,-20934,-803,-8061.0,1,0,0,-1511.0,Sales staff,2.0,,0.5028227716709326,0.4632753280912678,0,1,0,0
157500.0,411813.0,12,3.0227136831832957,Y,Y,0,Pensioner,Secondary / secondary special,Married,Co-op house,0.020713,-18428,365243,-4403.0,1,0,0,0.0,,2.0,0.4945159125900658,0.03760856069929,0.5046813193144684,0,0,0,0
157500.0,1125000.0,42,3.4429504863265246,Y,Y,0,State servant,Incomplete higher,Married,House,0.028663,-13958,-2440,-2090.0,1,0,0,-984.0,Core staff,2.0,0.2669279259905281,0.6798596902089087,0.646329897706246,0,1,0,0
252000.0,993082.5,36,2.627093361125724,Y,Y,0,Commercial associate,Higher education,Married,House,0.031329,-13977,-2306,-1045.0,1,0,0,-1129.0,Security staff,2.0,0.2482993162440137,0.7578256769460773,0.3201633668633456,0,1,0,0
193500.0,1666746.0,18,3.305144768975542,N,Y,0,Working,Secondary / secondary special,Married,Rented room,0.018029,-14982,-508,-68.0,1,0,0,-2267.0,,2.0,0.5229693712224278,0.1621921059592286,0.4920600938649263,0,1,0,0
90000.0,544491.0,24,3.8976840978811356,N,Y,1,State servant,Higher education,Single / not married,Apartment,0.015221,-11348,-2038,-1021.0,1,1,0,-1850.0,Core staff,2.0,,0.5866171400119664,0.4776491548517548,0,1,0,0
247500.0,1293165.0,30,2.4555850977387004,N,Y,0,Commercial associate,Secondary / secondary special,Married,House,0.035792,-16707,-845,-5641.0,1,0,0,-1300.0,Sales staff,2.0,0.7353155927305328,0.4499240879606843,0.4938628816996244,0,1,0,0
315000.0,675000.0,24,3.4425760073205947,N,N,0,Working,Secondary / secondary special,Married,Rented room,0.028663,-15083,-226,-1762.0,1,1,0,-2044.0,Drivers,2.0,,0.6608829032982987,,0,1,0,0
135000.0,284400.0,12,2.9473626609724635,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,House,0.006852,-10689,-2195,-1499.0,1,0,0,-128.0,,1.0,,0.075393194058729,0.0005272652387098,0,1,0,0
148500.0,270000.0,24,3.273751319879666,N,N,0,Commercial associate,Higher education,Married,Apartment,0.04622,-11859,-230,-5649.0,1,0,0,-20.0,Accountants,2.0,,0.7340684077272918,0.2250868621163805,0,1,0,0
139500.0,1006920.0,30,2.5640544216899936,N,Y,0,Working,Secondary / secondary special,Married,Apartment,0.020246,-19462,-8386,-5245.0,1,0,0,-1507.0,Core staff,2.0,0.6786255830538948,0.5020574246654175,0.6397075677637197,0,1,0,0
90000.0,663093.0,48,4.016944593528277,Y,Y,0,Working,Secondary / secondary special,Married,Apartment,0.005144,-20805,-4439,-10252.0,1,0,0,-3013.0,,2.0,0.7998542598394545,0.1876820754975388,0.6347055309763198,0,1,0,0
54000.0,454500.0,24,3.487237806728041,N,Y,0,Working,Secondary / secondary special,Married,Rented room,0.025164,-12150,-1923,-6078.0,1,0,0,-2698.0,Core staff,2.0,,0.1631870354642708,0.2735646775174348,0,1,0,0
202500.0,1006920.0,42,3.934964242926011,Y,Y,0,Working,Higher education,Married,House,0.035792,-14005,-1242,-1272.0,1,0,0,0.0,Accountants,2.0,,0.5459739915403462,0.2353105173615833,0,1,0,0
292500.0,532494.0,36,3.590309498255899,Y,Y,0,Working,Higher education,Married,Co-op house,0.0116569999999999,-13835,-247,-528.0,1,0,1,0.0,Managers,2.0,0.3859888716089413,0.4369560143638958,0.4489622731076524,0,1,0,0
180000.0,900000.0,24,3.579699224613343,N,Y,0,Commercial associate,Secondary / secondary special,Married,Rented room,0.001276,-15932,-219,-4869.0,1,0,0,0.0,Security staff,2.0,,0.2434354669102212,,0,1,0,0
360000.0,679500.0,60,4.444180838290767,N,Y,0,Pensioner,Secondary / secondary special,Married,Rented studio,0.072508,-18333,365243,-9341.0,1,1,0,-1720.0,,2.0,,0.2019006266685566,,0,0,0,0
135000.0,518562.0,48,3.462261359500275,N,N,0,Working,Secondary / secondary special,Married,House,0.020246,-17158,-7030,-10974.0,1,0,0,0.0,Core staff,2.0,0.651908720821678,0.0895842725877895,0.3474182272002641,0,1,0,0
171000.0,1078200.0,60,3.360409249314399,N,Y,0,Working,Secondary / secondary special,Widow,Rented room,0.020246,-19728,-1724,-8858.0,1,0,0,-2895.0,,1.0,0.5874390232866287,0.4992146512146199,0.11911906455945,0,1,0,0
112500.0,364896.0,12,3.4390293413719295,N,Y,0,Working,Secondary / secondary special,Civil marriage,Co-op house,0.002042,-17354,-941,-131.0,1,0,0,-668.0,Cooking staff,2.0,,0.1087845835225766,0.6212263380626669,0,1,0,0
247500.0,652500.0,18,4.50643490873881,N,Y,2,Working,Secondary / secondary special,Married,Apartment,0.015221,-14154,-1762,-901.0,1,0,0,-702.0,Drivers,4.0,0.6230575465319097,0.1990615179609658,0.4418358231994413,0,1,0,0
67500.0,755190.0,60,3.4462361676802464,N,N,0,Working,Lower secondary,Married,Apartment,0.018634,-14389,-6413,-1544.0,1,1,0,-460.0,Cooking staff,2.0,0.4621714196450708,0.3033310779652949,0.6161216908872079,0,1,0,0
135000.0,450000.0,12,4.171072764768756,N,Y,3,Working,Secondary / secondary special,Married,House,0.018801,-14071,-1586,-451.0,1,0,0,-1303.0,,5.0,,0.4716373082197941,0.4614823912998385,0,1,0,0
166500.0,277969.5,36,2.8763964232490027,N,Y,0,Working,Secondary / secondary special,Single / not married,House,0.004849,-12867,-1196,-3433.0,1,0,0,-1359.0,,1.0,,0.4046755544731183,0.180887977767074,0,1,0,0
202500.0,495000.0,24,3.370851241198312,Y,N,0,Working,Secondary / secondary special,Married,Rented room,0.018801,-14059,-867,-7328.0,1,0,0,-1723.0,Drivers,2.0,,0.2541003966318012,0.3425288720742255,0,0,0,0
225000.0,360000.0,24,2.9313927306902547,N,Y,2,Working,Secondary / secondary special,Single / not married,House,0.006629,-14243,-913,-3416.0,1,0,0,-329.0,Managers,3.0,,0.7653179410887078,,0,0,0,0
157500.0,454500.0,48,3.571099211244119,Y,N,1,Working,Higher education,Married,Apartment,0.010032,-11461,-2363,-5249.0,1,0,0,-965.0,Realty agents,3.0,,0.2827741270847781,,0,1,0,0
157500.0,497520.0,12,3.480902327418256,N,N,1,Working,Secondary / secondary special,Married,With parents,0.00496,-14260,-3108,-5372.0,1,0,0,-522.0,Security staff,3.0,,0.4485768555648894,0.3740208032583212,0,1,0,0
360000.0,463500.0,36,3.3331880157604656,N,Y,0,State servant,Secondary / secondary special,Widow,Apartment,0.020713,-19409,-6757,-5541.0,1,0,0,-1753.0,Medicine staff,1.0,,0.1463630039111147,,0,1,0,0
360000.0,900000.0,36,3.835723227608954,Y,Y,0,Working,Secondary / secondary special,Married,Co-op house,0.026392,-19530,-1492,-286.0,1,0,0,-239.0,Drivers,2.0,,0.6895557225650857,0.3344541255096772,0,1,0,0
270000.0,1800000.0,24,3.353990207285369,Y,N,1,Working,Higher education,Married,Municipal apartment,0.026392,-20396,-4293,-9088.0,1,0,0,-2511.0,Managers,3.0,,0.6295216417133035,0.7789040389824382,0,0,0,0
360000.0,1004647.5,42,1.9369433782689123,N,N,0,Commercial associate,Secondary / secondary special,Single / not married,Apartment,0.006629,-8701,-906,-8691.0,1,0,0,-406.0,Managers,1.0,,0.52992466492936,,0,1,0,0
180000.0,416052.0,36,4.0768676679008315,Y,Y,0,Working,Secondary / secondary special,Single / not married,Rented apartment,0.010032,-10744,-1618,-1217.0,1,0,0,-885.0,Managers,1.0,,0.3954960752088119,,0,0,0,0
135000.0,314100.0,18,3.5073114674987393,N,Y,0,Working,Secondary / secondary special,Separated,House,0.0088659999999999,-16488,-1704,-3594.0,1,0,0,-772.0,,1.0,0.5272985769228121,0.2694453406579321,0.4135967602644276,0,1,0,0
112500.0,260640.0,24,3.7944945451063816,Y,N,0,Working,Secondary / secondary special,Civil marriage,Apartment,0.0196889999999999,-16575,-431,-1329.0,1,0,1,-351.0,Drivers,2.0,,0.1636384490747184,,0,1,0,0
135000.0,1275372.0,60,3.481567347627905,N,N,2,Commercial associate,Secondary / secondary special,Married,Rented room,0.032561,-14001,-4000,-6686.0,1,0,0,-2301.0,Core staff,4.0,0.1714614929526592,0.7476887663173811,0.7421816117614419,0,1,0,0
202500.0,1006920.0,54,2.727275695729534,N,Y,1,Working,Secondary / secondary special,Married,House,0.018801,-16006,-1283,-8304.0,1,1,0,-1319.0,Laborers,3.0,,0.1071900510037307,,0,1,0,0
135000.0,942300.0,30,3.9738626578356526,N,N,0,Working,Higher education,Single / not married,Co-op house,0.0105,-19088,-2062,-6233.0,1,1,0,-362.0,Managers,1.0,0.5473113542909669,0.6499990553340981,,0,1,0,0
90000.0,501435.0,24,3.8262356881160593,N,Y,0,Working,Secondary / secondary special,Married,House,0.020713,-10328,-159,-5060.0,1,0,0,0.0,,2.0,,0.3866437523183784,,0,0,0,0
99000.0,646920.0,48,2.605669332557395,Y,Y,1,Working,Incomplete higher,Married,Apartment,0.015221,-16810,-1412,-1668.0,1,1,0,-518.0,Security staff,3.0,,0.1190994801036839,0.1519345490496476,0,1,0,0
225000.0,945000.0,60,3.3960232873837692,Y,Y,0,Working,Secondary / secondary special,Married,Rented room,0.0145199999999999,-16998,-9091,-7425.0,1,0,0,0.0,Laborers,2.0,,0.3529552043560545,0.5832379256761245,0,1,0,0
99000.0,454500.0,12,4.753700944213576,N,Y,1,Working,Secondary / secondary special,Married,House,0.009175,-14463,-1142,-3435.0,1,1,0,-558.0,Sales staff,3.0,,0.7046793757551191,0.511891801533151,0,0,0,0
130500.0,1099350.0,60,2.1347487335909046,Y,Y,0,Working,Secondary / secondary special,Civil marriage,Rented room,0.018029,-12286,-1440,-6037.0,1,0,0,-2054.0,High skill tech staff,2.0,,0.1112143341656185,0.3723336657058204,0,1,0,0
135000.0,1125000.0,42,2.3151512324596295,N,Y,0,State servant,Higher education,Married,Rented studio,0.026392,-14354,-4186,-2773.0,1,1,0,-2067.0,Core staff,2.0,0.7247223745882906,0.6091613239763346,0.6545292802242897,0,1,0,0
112500.0,275040.0,36,3.906722542982477,N,Y,0,Working,Secondary / secondary special,Single / not married,Rented apartment,0.0096569999999999,-12948,-458,-5663.0,1,0,0,0.0,Sales staff,1.0,,0.587094313522516,0.7490217048463391,0,1,0,0
121500.0,269550.0,18,3.9052295399115193,Y,Y,0,Working,Secondary / secondary special,Married,Apartment,0.031329,-9561,-2752,-9037.0,1,0,0,-672.0,Drivers,2.0,,0.2665197753925157,0.2822484337007223,0,1,0,0
225000.0,900000.0,36,3.477474847499992,N,N,0,Working,Secondary / secondary special,Single / not married,Apartment,0.016612,-13779,-834,-7650.0,1,0,0,-428.0,,1.0,0.210258212320078,0.7318470159294798,,0,1,0,0
103500.0,91692.0,12,3.6538296965992503,N,Y,0,Commercial associate,Secondary / secondary special,Married,House,0.011703,-22594,-181,-1753.0,1,0,0,-5.0,Security staff,2.0,,0.4074496336606753,0.3457848024695955,0,1,0,0
29250.0,123637.5,36,3.981142184238619,N,N,0,Pensioner,Secondary / secondary special,Single / not married,Apartment,0.01885,-23283,365243,-137.0,1,0,0,-284.0,,1.0,,0.3744635141218918,,0,0,0,0
225000.0,67500.0,24,3.6977784837922796,N,N,0,Working,Lower secondary,Single / not married,With parents,0.028663,-8763,-355,-3112.0,1,0,0,0.0,Laborers,1.0,,0.0374979104026287,0.3774042489507649,0,1,0,0
202500.0,325908.0,36,3.454998108420594,N,Y,2,Commercial associate,Higher education,Married,Rented room,0.032561,-14342,-1583,-2515.0,1,0,0,-188.0,Core staff,4.0,0.8343670727222091,0.7456039321349051,0.7165702448010511,0,1,0,0
225000.0,296280.0,30,3.252023030860628,N,Y,0,Commercial associate,Secondary / secondary special,Married,Rented room,0.04622,-9060,-1263,-3333.0,1,0,1,-151.0,Sales staff,2.0,0.210165755952908,0.2310634905396395,,0,1,0,0
270000.0,983299.5,18,3.692172349418546,Y,Y,0,Working,Secondary / secondary special,Civil marriage,Rented room,0.02461,-19291,-1777,-7681.0,1,0,0,-466.0,,2.0,,0.6891529990718219,,0,1,0,0
135000.0,755190.0,60,4.679303540347148,Y,Y,1,Working,Secondary / secondary special,Married,Rented studio,0.018801,-14097,-1194,-1792.0,1,0,0,-1713.0,Sales staff,3.0,0.5551831692529523,0.1548483364575313,0.3606125659189888,0,1,0,0
54000.0,276277.5,12,3.615001125074543,N,N,0,Pensioner,Secondary / secondary special,Married,House,0.032561,-24262,365243,-6824.0,1,0,0,-2.0,,2.0,,0.7061199242295235,,0,0,0,0
135000.0,1800000.0,24,4.012021039999777,Y,N,0,State servant,Secondary / secondary special,Married,Co-op house,0.010643,-19645,-12520,-7171.0,1,0,0,-1484.0,,2.0,0.6251747968967482,0.5283065040199261,0.4812493411434029,0,1,0,0
40500.0,152820.0,48,2.684382971795734,N,Y,0,Working,Secondary / secondary special,Single / not married,Apartment,0.030755,-14396,-599,-5632.0,1,0,0,-531.0,Low-skill Laborers,1.0,,0.3494125904942008,0.8245949709919925,0,1,0,0
315000.0,1125000.0,18,3.30243229361199,N,N,0,Commercial associate,Secondary / secondary special,Married,House,0.0145199999999999,-21334,-271,-3870.0,1,0,0,-186.0,Laborers,2.0,0.7507087014887893,0.5602427430918824,,0,1,0,0
172800.0,675000.0,36,3.3211531141335358,N,Y,0,Working,Secondary / secondary special,Civil marriage,With parents,0.018029,-9280,-1199,-3946.0,1,0,0,-121.0,Laborers,2.0,,0.303432751490627,0.5673792367572691,0,0,0,0
225000.0,1170000.0,54,4.15414673307451,Y,Y,0,Working,Higher education,Married,House,0.028663,-19279,-1956,-2793.0,1,0,0,-721.0,High skill tech staff,2.0,,0.7600859446695204,0.6363761710860439,0,0,0,0
171000.0,1374480.0,42,2.963617610940659,Y,N,0,Working,Secondary / secondary special,Married,House,0.035792,-17288,-5082,-4064.0,1,0,0,-2423.0,Drivers,2.0,,0.6664716178942968,0.3572932680336494,0,1,0,0
135000.0,52128.0,48,3.2707150776557414,N,Y,0,Working,Secondary / secondary special,Civil marriage,Apartment,0.00823,-13475,-979,-5221.0,1,1,0,-576.0,Security staff,2.0,0.5611845027645544,0.3983960665266933,0.6413682574954046,0,1,0,0
67500.0,254700.0,12,3.4810639796819527,Y,N,0,Pensioner,Secondary / secondary special,Married,House,0.035792,-20743,365243,-9059.0,1,1,0,0.0,,2.0,,0.1068577602844493,,0,1,0,0
112500.0,420894.0,18,2.653262004102727,N,N,0,Pensioner,Secondary / secondary special,Married,House,0.018801,-21061,365243,-10605.0,1,0,0,-1325.0,,2.0,,0.5246648811626792,,0,1,0,0
202500.0,332946.0,42,3.4295356030463857,Y,Y,0,Commercial associate,Secondary / secondary special,Married,House,0.01885,-14100,-1284,-5421.0,1,0,0,-1989.0,,2.0,0.4703853812653572,0.6904584635520693,0.2636468134452008,0,1,0,0
180000.0,1227901.5,54,4.2412925500440535,N,N,0,State servant,Higher education,Married,Rented studio,0.04622,-19178,-2262,-6112.0,1,1,0,-2125.0,Accountants,2.0,,0.7446487568433415,0.6127042441012546,0,0,0,0
